freq,currency,geo\TIME_PERIOD	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,EUR,AL	: 	45 	47 	52 	53 	60 	63 	68 	67 	74 	75 	88 	85 	95 	96 	114 	113 	115 	131 	139 	137 	138 	130 	139 	137 	141 	144 	152 	150 	156 	157 	157 	157 	157 	160 	160 	163 	181 	181 	191 	211 	212 	213 	209 	243 	245 	248 	269 	298 	376 	385 	399 	408 	408 	517 
S,EUR,AT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,BE	1074 	1096 	1096 	1096 	1118 	1140 	1140 	1163 	1163 	1186 	1186 	1186 	1210 	1210 	1234 	1234 	1259 	1283 	1310 	1336 	1388 	1388 	1388 	1388 	1415 	1444 	1444 	1472 	1502 	1502 	1502 	1502 	1502 	1502 	1502 	1532 	1532 	1563 	1563 	1563 	1594 	1594 	1594 	1626 	1626 	1626 	1658 	1842 	1955 	1955 	1994 	2070 	2070 	2112 	2112 
S,EUR,BG	31 	34 	34 	38 	40 	43 	51 	51 	56 	56 	61 	61 	77 	77 	82 	82 	92 	92 	112 	112 	123 	123 	123 	123 	123 	123 	138 	148 	159 	159 	174 	174 	184 	194 	215 	215 	235 	235 	261 	261 	286 	286 	312 	312 	332 	332 	332 	363 	399 	399 	477 	477 	551 	551 	620 
S,EUR,CH	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,CY	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	940 	940 	1000 	1000 	1000 	1000 	1088 
S,EUR,CZ	92 	99 	111 	126 	143 	148 	178 	195 	196 	196 	207 	211 	236 	239 	261 	279 	291 	279 	300 	335 	298 	309 	302 	311 	319 	329 	310 	312 	318 	308 	310 	310 	332 	338 	366 	365 	407 	420 	478 	469 	519 	525 	575 	546 	579 	596 	652 	655 	717 	729 	764 	755 	826 	841 	924 
S,EUR,DE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	1444 	1444 	1444 	1444 	1506 	1506 	1506 	1506 	1561 	1561 	1544 	1544 	1585 	1602 	1634 	1739 	1997 	1997 	2054 	2054 	2161 	2161 	2343 
S,EUR,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,EE	80 	80 	89 	89 	102 	102 	118 	118 	138 	138 	159 	159 	172 	172 	192 	192 	230 	230 	278 	278 	278 	278 	278 	278 	278 	278 	290 	290 	320 	320 	355 	355 	390 	390 	430 	430 	470 	470 	500 	500 	540 	540 	584 	584 	584 	584 	654 	654 	725 	725 	820 	820 	886 	886 	886 
S,EUR,EL	505 	512 	526 	534 	544 	552 	572 	582 	607 	607 	631 	631 	668 	668 	710 	710 	730 	768 	794 	794 	818 	863 	863 	863 	863 	877 	877 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	758 	758 	758 	758 	758 	774 	832 	832 	910 	910 	968 	968 	1027 	1027 
S,EUR,ES	486 	486 	496 	496 	506 	506 	516 	516 	526 	526 	537 	573 	599 	599 	631 	631 	666 	666 	700 	700 	728 	728 	739 	739 	748 	748 	748 	748 	753 	753 	753 	753 	757 	757 	764 	764 	826 	826 	859 	859 	1050 	1050 	1108 	1108 	1108 	1108 	1126 	1167 	1167 	1260 	1323 	1323 	1381 	1381 	1381 
S,EUR,FI	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,FR	1036 	1049 	1049 	1083 	1083 	1127 	1127 	1154 	1154 	1215 	1215 	1286 	1286 	1218 	1218 	1254 	1254 	1280 	1280 	1321 	1321 	1338 	1344 	1344 	1365 	1365 	1398 	1426 	1430 	1430 	1445 	1445 	1458 	1458 	1467 	1467 	1480 	1480 	1498 	1498 	1521 	1521 	1539 	1539 	1555 	1555 	1603 	1646 	1709 	1747 	1767 	1767 	1802 	1802 	1823 
S,EUR,HR	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	380 	373 	387 	385 	391 	381 	380 	373 	374 	372 	401 	396 	398 	396 	399 	408 	414 	433 	442 	462 	466 	506 	507 	546 	546 	563 	567 	624 	622 	700 	700 	840 	840 	970 	970 	1050 
S,EUR,HU	89 	90 	100 	98 	151 	164 	204 	204 	212 	188 	202 	211 	232 	231 	247 	221 	260 	266 	272 	293 	268 	263 	272 	257 	281 	293 	296 	323 	335 	332 	342 	328 	333 	333 	351 	350 	412 	413 	445 	418 	464 	461 	487 	452 	442 	476 	542 	504 	579 	624 	697 	675 	707 	727 	838 
S,EUR,IE	: m	: m	: m	945 	945 	1009 	1009 	1009 	1073 	1073 	1073 	1183 	1183 	1293 	1293 	1293 	1403 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1546 	1546 	1563 	1563 	1614 	1614 	1656 	1656 	1656 	1707 	1724 	1724 	1775 	1775 	1910 	1910 	2146 	2146 	2282 	2282 	2391 
